"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","fc_direction"
"ENSG00000176170",952.409088488008,-0.168346236277636,0.0434819626318106,-3.87163380142545,0.000108108286375967,0.000299984991592967,"SPHK1",8877,"DOWN"
"ENSG00000131238",769.0973537176,0.177127342440781,0.0457869545503126,3.86851111152513,0.000109501947203736,0.00030356198830835,"PPT1",5538,"UP"
"ENSG00000196632",189.344705888159,0.360409219829918,0.0931765008586073,3.86802698651272,0.000109719524573077,0.000304092547217337,"WNK3",65267,"UP"
"ENSG00000215712",154.324300367055,0.402958287113203,0.104312403199887,3.86299495316046,0.000112005322703345,0.000310205581246622,"TMEM242",729515,"UP"
"ENSG00000141101",110.838331476595,-0.465409038197493,0.120793410463961,-3.85293400037207,0.000116710857353379,0.000322698988776548,"NOB1",28987,"DOWN"
"ENSG00000128652",60.7269253819237,-0.622692881706452,0.161628787165642,-3.85261123730576,0.000116864857579915,0.00032297095846294,"HOXD3",3232,"DOWN"
"ENSG00000114993",132.490693042941,-0.453887326360881,0.117864282442052,-3.85093191047114,0.000117669213390591,0.000325039154762019,"RTKN",6242,"DOWN"
"ENSG00000137509",222.791445200112,0.334382654338733,0.0868421619673274,3.85046441456095,0.000117894059561443,0.000325582785801226,"PRCP",5547,"UP"
"ENSG00000119650",295.40903065089,0.279884120733199,0.0727214414818551,3.8487152486249,0.00011873893490803,0.000327604333241973,"IFT43",112752,"UP"
"ENSG00000141985",534.519479494423,-0.216911819267264,0.0564691455654562,-3.84124493287809,0.000122411892770488,0.000336949563818164,"SH3GL1",6455,"DOWN"
"ENSG00000065243",474.638599714483,0.227114806868066,0.0591949941060132,3.83672319421677,0.000124686876474277,0.000342874143975924,"PKN2",5586,"UP"
"ENSG00000186480",2112.5453123243,0.111984325465558,0.029205775891207,3.83432119327032,0.000125911525252034,0.000346077842844723,"INSIG1",3638,"UP"
"ENSG00000075234",116.94908924036,-0.491743529861849,0.128268257074747,-3.83371179336515,0.000126224023109717,0.000346854652852973,"TTC38",55020,"DOWN"
"ENSG00000146112",534.455367673333,0.21814834520802,0.0571165458596893,3.81935465327185,0.000133801272246333,0.000366808210337644,"PPP1R18",170954,"UP"
"ENSG00000139364",48.9976026389807,0.642762560358876,0.168350790579003,3.8179954970704,0.00013454038068926,0.000368660330375812,"TMEM132B",114795,"UP"
"ENSG00000164815",346.900997333263,-0.268845153618922,0.0704352749590867,-3.81691068537865,0.000135133059273113,0.000370022362773784,"ORC5",5001,"DOWN"
"ENSG00000072840",424.50912777506,-0.238836461010017,0.0626072977786407,-3.81483420438406,0.000136274395535868,0.000372795884112022,"EVC",2121,"DOWN"
"ENSG00000142627",367.205053253437,-0.259695593464885,0.0681355766049071,-3.81145366936224,0.000138151951701744,0.000377487446283183,"EPHA2",1969,"DOWN"
"ENSG00000136891",822.274437379773,-0.179742537838903,0.0472274237491711,-3.80589334691495,0.00014129326349046,0.000385617016719378,"TEX10",54881,"DOWN"
"ENSG00000155008",366.996409791152,0.246058504198333,0.0646690326760698,3.80488920301083,0.000141867679411881,0.000386820985902288,"APOOL",139322,"UP"
"ENSG00000107175",455.199677578112,0.225478389874203,0.0592982517175811,3.80244582838775,0.000143274601099624,0.000390338805902801,"CREB3",10488,"UP"
"ENSG00000125482",199.728374507078,-0.347161612232937,0.0913176492341672,-3.80169239073057,0.00014371108250049,0.000391295888328023,"TTF1",7270,"DOWN"
"ENSG00000166002",104.98339000461,0.445600771237526,0.117377844244843,3.79629370520752,0.000146875476764941,0.000399162988118204,"SMCO4",56935,"UP"
"ENSG00000166974",606.865869252603,0.198402906156201,0.0523373791911566,3.79084526627816,0.000150135469284681,0.000407831726344208,"MAPRE2",10982,"UP"
"ENSG00000104691",196.852724829781,-0.378557773233766,0.0998907667051737,-3.78971736548058,0.00015081878834155,0.000409592077811788,"UBXN8",7993,"DOWN"
"ENSG00000177051",95.4782759138713,-0.514019666445532,0.135805675103574,-3.78496455360579,0.000153730488421407,0.000416914499082582,"FBXO46",23403,"DOWN"
"ENSG00000116521",424.862528317188,0.227575456494223,0.0602598337063943,3.77656960692998,0.000159003138222889,0.000430409520813182,"SCAMP3",10067,"UP"
"ENSG00000132541",187.64696565487,0.357175483099884,0.0946740120942471,3.77268772283907,0.000161498371173035,0.000436553222192999,"RIDA",10247,"UP"
"ENSG00000131508",857.828728531311,-0.173871435094482,0.0461064948177228,-3.77108335348121,0.000162540364817936,0.000439165379459212,"UBE2D2",7322,"DOWN"
"ENSG00000198752",825.518144005513,0.160515879312605,0.0425646666850012,3.77110622057724,0.000162525468932898,0.000439165379459212,"CDC42BPB",9578,"UP"
"ENSG00000139631",85.8527494914944,-0.534525641807309,0.141850999327649,-3.76821907734789,0.000164416378153117,0.000444130793475497,"CSAD",51380,"DOWN"
"ENSG00000121390",351.855424077225,-0.267773801855219,0.0710913766594265,-3.76661438331723,0.000165476288191649,0.000446785978117451,"PSPC1",55269,"DOWN"
"ENSG00000114446",575.187483036777,0.205942600846442,0.0546881588369775,3.76576219105027,0.000166041776366763,0.000448104375550469,"IFT57",55081,"UP"
"ENSG00000157259",206.704731070765,0.32749178525792,0.0870932039111077,3.76024500823482,0.000169747023438006,0.000457784655543612,"GATAD1",57798,"UP"
"ENSG00000196182",821.735489586719,0.166666744271631,0.0444411674813971,3.75027826038541,0.000176638445926633,0.000475155782485682,"STK40",83931,"UP"
"ENSG00000107816",363.759477795287,-0.262728141016959,0.0700879288076906,-3.74855050629104,0.000177859523584879,0.000478218867258094,"LZTS2",84445,"DOWN"
"ENSG00000038002",141.092828636439,0.428276598925892,0.114476836037918,3.74116383496163,0.000183170061464413,0.000491359614972698,"AGA",175,"UP"
"ENSG00000164296",78.6991933703073,0.523307209941664,0.140147129166918,3.73398451364918,0.00018847408812356,0.000504771433244413,"TIGD6",81789,"UP"
"ENSG00000100897",90.721949595229,0.490444743113825,0.131344177895627,3.73404250551217,0.00018843067168271,0.000504771433244413,"DCAF11",80344,"UP"
"ENSG00000248671",61.9769113087742,0.602173906019607,0.162027937137834,3.71648196389336,0.000202016054927843,0.000539173884531553,"",285407,"UP"
"ENSG00000000003",195.555852620788,0.350503732108148,0.0943229803076666,3.7159950943541,0.000202405508963923,0.000540089165495553,"TSPAN6",7105,"UP"
"ENSG00000109534",60.6267168860676,-0.63658542554714,0.171404159471359,-3.71394385941673,0.000204054080345797,0.000544237967565978,"GAR1",54433,"DOWN"
"ENSG00000100938",187.538782332141,0.346324238841568,0.0933526295405695,3.7098498515359,0.000207382202174868,0.000552733555383429,"GMPR2",51292,"UP"
"ENSG00000068400",203.809283073562,0.32289556030162,0.0871278156222132,3.70599857227797,0.000210559484423157,0.000560558499003177,"GRIPAP1",56850,"UP"
"ENSG00000101104",113.740562542684,-0.459313244152373,0.124039268729616,-3.70296639811378,0.000213093115461862,0.00056717356041087,"PABPC1L",80336,"DOWN"
"ENSG00000119943",75.4686428547121,-0.571826771633984,0.154711712171653,-3.69607939571854,0.000218954524882638,0.000581840703567733,"PYROXD2",84795,"DOWN"
"ENSG00000148399",148.137138579213,-0.440591454184431,0.119297902211875,-3.69320370279381,0.00022144649562192,0.000587790080971764,"DPH7",92715,"DOWN"
"ENSG00000011114",618.553917542474,-0.195161785959506,0.0528443574450213,-3.69314332495292,0.000221499101127944,0.000587795328936098,"BTBD7",55727,"DOWN"
"ENSG00000117691",237.769938804979,0.320246821866161,0.086858917942334,3.68697687529074,0.000226933970019163,0.000601118729619548,"NENF",29937,"UP"
"ENSG00000114021",401.033660433954,-0.251556401583266,0.0683214737290738,-3.6819522157968,0.000231454798867803,0.000612395217606015,"NIT2",56954,"DOWN"
"ENSG00000146409",127.522631314876,-0.418153195024769,0.113623623639272,-3.68016070630089,0.000233087010342498,0.00061643284511991,"SLC18B1",116843,"DOWN"
"ENSG00000184007",64.6141899913426,-0.616892055003334,0.167831480199736,-3.67566355411494,0.000237231998836587,0.000626966425334117,"PTP4A2",8073,"DOWN"
"ENSG00000174996",274.263668437327,0.285543163216044,0.0776951906426107,3.67517166576643,0.000237689540755033,0.000627889776602033,"KLC2",64837,"UP"
"ENSG00000168404",97.0059118713544,-0.506636294109167,0.137880489233729,-3.6744596492571,0.000238353307121964,0.000629356810481238,"MLKL",197259,"DOWN"
"ENSG00000104731",183.695897640304,-0.350839503067741,0.0955128384532555,-3.67321826834247,0.000239514726410683,0.00063213593399137,"KLHDC4",54758,"DOWN"
"ENSG00000162341",59.2057962902106,-0.601504510568547,0.163775073971569,-3.67274760427199,0.000239956459941945,0.000633013974079977,"TPCN2",219931,"DOWN"
"ENSG00000163755",405.374155665575,0.235201374655135,0.0641282815418842,3.66767000455981,0.000244770803200153,0.00064512804203264,"HPS3",84343,"UP"
"ENSG00000123815",206.176285243167,-0.340404100384425,0.0928281271900696,-3.6670361741483,0.000245378093070323,0.000646581856683262,"COQ8B",79934,"DOWN"
"ENSG00000154065",161.68847565528,-0.391025088088611,0.106650907090965,-3.66640189712681,0.000245987225496854,0.000647892851183866,"ANKRD29",147463,"DOWN"
"ENSG00000204619",241.276274366865,0.310547385318296,0.0847612403693751,3.66379000549052,0.000248510551863607,0.00065409374453332,"PPP1R11",6992,"UP"
"ENSG00000111885",501.889257181995,0.219059751098339,0.0598594297081672,3.65956963115622,0.00025263918923308,0.000664207651040773,"MAN1A1",4121,"UP"
"ENSG00000150787",150.857330930291,-0.403002519612039,0.11028933512423,-3.65404795629691,0.000258138020636054,0.000677590418174223,"PTS",5805,"DOWN"
"ENSG00000213694",277.684913983895,-0.290344692801944,0.0797508069396144,-3.64064896574384,0.00027195170791173,0.000711918676179298,"S1PR3",1903,"DOWN"
"ENSG00000185650",1245.52474278802,0.131227763340131,0.0360757623423799,3.63756036794741,0.0002752326959391,0.000720182916351803,"ZFP36L1",677,"UP"
"ENSG00000088833",306.505476060975,-0.280037848072113,0.077005336752213,-3.63660312236821,0.000276257075656721,0.000722374920805074,"NSFL1C",55968,"DOWN"
"ENSG00000134253",100.01056862002,0.4484078831855,0.123370644821364,3.63464002182025,0.000278369040914956,0.000727569690459847,"TRIM45",80263,"UP"
