Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR2443194	2313.0	91805.0	421611.0	962776.0	867833.0	828222.0	828337.0	756645.0	747931.0	740245.0	763289.0	748847.0	719024.0	720857.0	696384.0	668742.0	704471.0	657244.0	645522.0	643189.0	705045.0	511426.0	524628.0	476701.0	453123.0	474997.0	460885.0	477181.0	467494.0	440680.0	427124.0	402607.0	412972.0	475656.0	1666517.0	74555529.0
SRR2443195	2310.0	93356.0	419577.0	997981.0	880556.0	833509.0	819585.0	793417.0	763347.0	768997.0	1018666.0	814971.0	816040.0	805852.0	755668.0	729166.0	731133.0	660986.0	593180.0	573225.0	518315.0	483026.0	479609.0	456427.0	428043.0	443864.0	420449.0	427757.0	431603.0	425367.0	451426.0	446046.0	484279.0	563161.0	2115893.0	74725804.0
SRR2443196	2171.0	90710.0	424111.0	992907.0	899418.0	855688.0	841896.0	806387.0	791680.0	780679.0	834839.0	782945.0	673876.0	690845.0	634036.0	588834.0	537390.0	470543.0	452857.0	441775.0	435837.0	425082.0	421628.0	442125.0	417504.0	436006.0	431110.0	452502.0	459904.0	440437.0	468668.0	460551.0	525088.0	632940.0	2610707.0	64504931.0
SRR2443197	2126.0	81612.0	384337.0	940726.0	874029.0	862947.0	826296.0	794945.0	803032.0	845854.0	826314.0	814668.0	807645.0	823443.0	722409.0	670785.0	634411.0	483709.0	556144.0	453842.0	469168.0	448939.0	450530.0	446459.0	425402.0	440206.0	481118.0	459692.0	495786.0	468607.0	531670.0	485839.0	567404.0	715072.0	2770105.0	78458736.0
SRR2443198	1877.0	80255.0	363327.0	895031.0	788942.0	768029.0	762106.0	735321.0	712946.0	704041.0	751930.0	719885.0	674445.0	634602.0	592500.0	552997.0	512833.0	425930.0	422142.0	385462.0	397489.0	385362.0	391103.0	383459.0	379183.0	384169.0	384196.0	405271.0	409741.0	413225.0	416077.0	422821.0	489204.0	581132.0	2380465.0	62440322.0
SRR2443199	1703.0	65540.0	276881.0	690471.0	587675.0	585827.0	600594.0	591838.0	619107.0	578475.0	591256.0	557571.0	529184.0	565426.0	561726.0	510658.0	555388.0	411012.0	420319.0	407698.0	418357.0	394201.0	405482.0	395704.0	379389.0	389647.0	346244.0	350395.0	348584.0	341996.0	366032.0	343531.0	399313.0	438565.0	1724748.0	85832022.0
SRR2443200	1497.0	60640.0	277674.0	660157.0	608797.0	590505.0	589391.0	566474.0	585551.0	560272.0	607601.0	608917.0	541415.0	520395.0	472984.0	441986.0	451378.0	416219.0	423582.0	435992.0	428044.0	407882.0	393948.0	423698.0	352097.0	359727.0	346937.0	355483.0	352796.0	348466.0	353394.0	366553.0	419954.0	457770.0	1732794.0	78222954.0
SRR2443201	1175.0	54000.0	236817.0	513243.0	484159.0	474028.0	478949.0	464451.0	477434.0	431775.0	484121.0	467288.0	407592.0	419829.0	386036.0	323320.0	315709.0	291953.0	268964.0	279783.0	276082.0	270165.0	282079.0	277879.0	287616.0	293311.0	296143.0	310061.0	312146.0	341678.0	341990.0	329957.0	389120.0	504741.0	2771561.0	79780512.0
SRR2443202	2144.0	89989.0	393497.0	867549.0	820741.0	794346.0	757908.0	728194.0	736664.0	770683.0	749150.0	734885.0	722341.0	724735.0	640436.0	595093.0	546607.0	457346.0	506252.0	420559.0	434900.0	399071.0	412775.0	408812.0	380281.0	394968.0	438388.0	407517.0	431232.0	409443.0	465505.0	419045.0	470776.0	620750.0	2511885.0	82223459.0
SRR2443203	1446.0	58594.0	273795.0	615820.0	541374.0	534568.0	539066.0	542248.0	563571.0	551256.0	550451.0	542833.0	523395.0	528558.0	534481.0	520255.0	483154.0	421622.0	395890.0	358625.0	354358.0	334903.0	330071.0	323238.0	310389.0	320566.0	311134.0	320523.0	325206.0	317515.0	331088.0	338534.0	364478.0	433231.0	1535549.0	87062388.0
